"Year","Organization","Award","Date","Recipients","Work"
"2025","PRESM 2025","Outstanding Presentation Award","July 25, 2025","Jongseong Brad Choi","Physics-informed Neural Network (PINN) and Hyper-realistic Digital Twin (3DGS) for Predictive Engineering System Assessment"
"2025","KSME","신뢰성젊은연구자상","April 10, 2025","Jongseong Brad Choi","EV-PINN: Electric Vehicle Battery Surrogate Model using Transformer-based Physics-informed Neural Network, etc."
"2024","ICMR 2024","Outstanding Paper Award","December 6, 2024","Jee Won Lee , Hansol Lim, Jongseong Brad Choi, Sangho Song, Jaechul Park, and Hwasup Jang","Development of a 3D Gaussian Splatting Digital Twining Platform for Remote Ship Assessment"
"2024","KSME","우수학위논문상","March 21, 2024","Ricardo Ortiz , Jongseong Brad Choi","지도상의 사용자 유도경로를 이용한 무인 지상차량(UGV)의 자율 조작: 정량적 시뮬레이션 및 분석"
"2024","KIMM AI/DX 아이디어 경진대회","대상","December 2, 2024","Hansol Lim , Jee Won Lee,","Hanbeom Chang, Sooyeun Yang 전기차 에너지 예측을 위한 물리 기반 신경망"
"2024","PHM Korea","우수포스터상","June 26, 2024","Hanbeom Chang , Soojung Chi,","Jongseong Brad Choi, Chul Min Yeum 원격 검사를 위한 실시간 디지털 트윈 생성 혼합현실 시스템"
"2023","KSME","우수논문상","March 21, 2024","Jonathan Boyack , Jongseong Brad Choi","Falling Hazard Assessment Application: Automated Labelling Large Data Sets for Transfer Learning Models"
"2023","ITP 인천테크노파크","최우수상","November 3, 2023","Jonathan Boyack,  Alfredo Valenzuela, Ricardo Ortiz, Sambridha Bhattarai","2023년 글로벌 제품 서비스 현지화 연구회 (주) 로비고스"
"2023","Aerospace NDT","Best Paper Award","November 8, 2023","Jonathan Boyack , Hansol Lim, Alfredo Valenzuela, Jongseong Brad Choi","Region of Interest Locator with Digital Twin Model Generation of Large-Scale Facility"
"2023","KSME ChatGPT 활용 경진대회","동상","November 1, 2023","Hansol Lim",""
"2023","Aerospace NDT","Outstanding Paper Award","November 8, 2023","Hansol Lim , Jongseong Brad Choi","Real-Time 3D Video Generation Using NeRF"
"2023","PHM Korea","우수포스터상","July 5, 2023","Hansol Lim , Jongseong Brad Choi","Real-Time, Non-Intrusive Inspection of Structures Using Visual Analytics and Transparency Technology"
"2022","KSME IT 융합부문","우수논문상","April 27, 2023","Jonathan Boyack , Jongseong Brad Choi","A Real-Time Log Data Analytics-based Electric Vehicle Path Optimization"
"2022","ITP 인천테크노파크","최우수상","November 30, 2022","Jonathan Boyack , Jee Won Lee, Ricardo Ortiz, Jongseong Brad Choi","글로벌 제품 서비스 현지화 연구회 (주) 스완전자"
"2022","KSME 2022","우수논문상","March 23, 2023","Jonathan Boyack , Jongseong Brad Choi","A Real-Time Log Data Analytics-based Electric Vehicle Path Optimization"
"2022","KSME 2022","우수논문상","March 23, 2023","Pureun Jeong , Jimin Shin, Seung Hyun Cha,","Jongseong Brad Choi 건설 현장 안전관리를 위한 SLAM기반 실내 자율 주행 시스템"
