"Type","Year","VenueAbbr","Venue","Title","Authors"
"Korean","2025","PHM Korea 2025","PHM Korea 2025 정기학술대회","Interpretable Surrogate via Lagrangian Energy Heads","Hansol Lim, Jongseong Brad Choi"
"Korean","2025","PHM Korea 2025","PHM Korea 2025 정기학술대회","Linear Optimization Strategy for Individual Battery Cell Power Controller to Extend its Remaining Useful Life using PHM","Jonathan Boyack, Hansol Lim, Jongseong Brad Choi"
"Korean","2025","PHM Korea 2025","PHM Korea 2025 정기학술대회","An Integrated Framework for Object Reconstruction with 3D Gaussian Splatting and Reinforcement-Learned Sliding Mode Landing Control","Sooyeun Yang, Jongseong Brad Choi"
"Korean","2025","PHM Korea 2025","PHM Korea 2025 정기학술대회","ROS-Based PTZ Camera System for Visual Monitoring in PHM","Alfredo Valenzuela, Hugo Zuniga, Felipe Zuniga, Jongseong Brad Choi"
"Korean","2025","PHM Korea 2025","PHM Korea 2025 정기학술대회","PHM-Driven XR-Enabled Sensor Fusion Platform for Remote Structural Health Management and Collaborative Inspection","Hanbeom Chang, Hyeji Chang, Sungwook Choi, Jongseong Brad Choi"
"Korean","2025","KSME Reliability 2025","Korean Society of Mechanical Engineers(KSME)-Reliability Division 2025","OPTIMIS: Omniverse-Powered 3D Gaussian Splatting","Sooyeun Yang, Jee Won Lee, Hansol Lim, Jongseong Brad Choi"
"Korean","2025","KSME Reliability 2025","Korean Society of Mechanical Engineers(KSME)-Reliability Division 2025","Physics-Informed Diffusion Models for 2D Head Equation","Hansol Lim, Jee Won Lee, Sooyeun Yang, Jongseong Brad Choi"
"Korean","2025","KSME Reliability 2025","Korean Society of Mechanical Engineers(KSME)-Reliability Division 2025","Visual Monitoring Assessments System through Robot Operating System (ROS)","Alfredo Valenzuela, Felipe Zuniga, Hugo Zuniga, Jongseong Brad Choi"
"Korean","2025","KSME Reliability 2025","Korean Society of Mechanical Engineers(KSME)-Reliability Division 2025","Virtual Reality based Remote Controlled Perspective Synchronized Snowplow","Cheyul Im, Hansol Lim, Jongseong Brad Choi"
"Korean","2025","KSME Reliability 2025","Korean Society of Mechanical Engineers(KSME)-Reliability Division 2025","Remote Collaboration and Real-Time Visualization System Using Mixed Reality: Application in Construction and Industrial Sites","Sungwook Choi, Hanbeom Chang, Jongseong Brad Choi"
"Korean","2025","KSME Reliability 2025","Korean Society of Mechanical Engineers(KSME)-Reliability Division 2025","NuClearView: Object-Centric 3D Reconstruction and Automated Defect Localization for Nuclear Reactor Inspection","Jee Won Lee, Hansol Lim, Sooyeun Yang, Jongseong Brad Choi, Sang Hyuk Lee, Dongsoo Kang, Hankwang Choi, Yongkyu Kim"
