"Date","date_start","date_end","Type","Content","Summary","Gallery","News (List)","ID","Created Date","Updated Date","Owner"
"November 12-14, 2025",2025-11-12T00:00:00Z,2025-11-14T00:00:00Z,"External","MEIC AI participated in the 2025 KMF Expo (대한민국 가상융합산업대전), showcasing the lab’s latest advances in visual intelligence, digital-twin technologies, and AI-driven remote-engineering solutions. The exhibition highlighted MEIC AI’s integrated research capabilities spanning 3D computer vision, neural rendering, mixed-reality interfaces, and intelligent inspection systems.","2025 KMF Expo","[{""description"":"""",""fileName"":""20251112_1.jpg"",""slug"":""c34d7e_212b6e03dee043a5a1b638f0d834898c~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/c34d7e_212b6e03dee043a5a1b638f0d834898c~mv2.jpg/20251112_1.jpg#originWidth=2250&originHeight=1800"",""title"":""20251112_1.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1800,""width"":2250}},{""description"":"""",""fileName"":""20251112_2.jpg"",""slug"":""c34d7e_18b18f47a69945ac872af9e91f25fed1~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/c34d7e_18b18f47a69945ac872af9e91f25fed1~mv2.jpg/20251112_2.jpg#originWidth=2250&originHeight=1500"",""title"":""20251112_2.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1500,""width"":2250}}]","/news-1/","095fde93-e001-47eb-bb64-eb32e9deca05",2026-03-14T09:50:06Z,2026-04-19T06:42:02Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"October 11, 2022",2022-10-11T00:00:00Z,2022-10-11T00:00:00Z,"External","Prof. Jongseong Brad Choi hosted a seminar regarding entitled Human-Machine Collaborative Infrastructure Assessment through Mixed and Virtual Reality along with professor Chul Min Yeum from University of Waterloo. Prof. Choi and Yeum have been collaborating years and plan for another project for our graduate students visiting program.","Host a Seminar and invite professor Chul Min Yeum","[{""description"":"""",""fileName"":""11Oct2022#1.png"",""slug"":""754fc9_c08db0b346cf45a69527a13cd245193d~mv2.png"",""alt"":"""",""src"":""wix:image://v1/754fc9_c08db0b346cf45a69527a13cd245193d~mv2.png/11Oct2022%25231.png#originWidth=1099&originHeight=1470"",""title"":""11Oct2022#1.png"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1470,""width"":1099}},{""description"":"""",""fileName"":""11Oct2022#2.jpg"",""slug"":""754fc9_d1060a740bcf4a03ad870f076a55b027~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/754fc9_d1060a740bcf4a03ad870f076a55b027~mv2.jpg/11Oct2022%25232.jpg#originWidth=1440&originHeight=1080"",""title"":""11Oct2022#2.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1080,""width"":1440}}]","/news-1/","0a34e480-116e-4630-b5f3-4b8646d7ac21",2026-03-14T09:50:06Z,2026-04-19T09:39:11Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"May 24, 2023",2023-05-24T00:00:00Z,2023-05-24T00:00:00Z,"External","Professor Choi was invited to participate in a panel discussion entitled Roundtable on AI and Society at the 2023 IGC Research Showcase held in Incheon Global Campus, Incheon, South Korea, on May 22, 2023. All current student members of the MEIC lab were able to showcase their research through short poster presentations at the same Research Showcase. Everyone's research was well received. We hope to have many more opportunities to display the research we do in our lab.","2023 IGC Research Showcase","[{""description"":"""",""fileName"":""KakaoTalk_20230524_005533999.jpg"",""slug"":""56ae54_641e40d122fa44678ea4419b86d9d1a0~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/56ae54_641e40d122fa44678ea4419b86d9d1a0~mv2.jpg/KakaoTalk_20230524_005533999.jpg#originWidth=947&originHeight=665"",""title"":""KakaoTalk_20230524_005533999.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":665,""width"":947}}]","/news-1/","0de88afc-ef2f-4941-8f52-c9883f9cacb0",2026-03-14T09:50:06Z,2026-04-19T09:34:47Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"May 19, 2025",2025-05-19T00:00:00Z,2025-05-19T00:00:00Z,"Internal","Lab members held a farewell dinner for Hugo and Felipe ahead of their departure to Ecuador. The gathering marked the end of their research stay, providing an opportunity for the team to come together and reflect on their collaborative work over the past months.","Hugo and Felipe Farewell Party","[{""description"":"""",""fileName"":""20250519.jpg"",""slug"":""080b1e_080b138ba54d4c2f97e4e075666f7b6a~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/080b1e_080b138ba54d4c2f97e4e075666f7b6a~mv2.jpg/20250519.jpg#originWidth=4032&originHeight=3024"",""title"":""20250519.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":3024,""width"":4032}}]","/news-1/","1fde21fa-0125-4ca9-9e32-69334a940a4f",2026-03-14T09:50:06Z,2026-04-19T09:47:46Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"June 26-27, 2025",2025-06-26T00:00:00Z,2025-06-27T00:00:00Z,"External","Professor Jongseong Brad Choi delivered a keynote lecture at the KSFC Drive & Control 2025 Spring Conference, held at KIST Gangneung Institute on June 26–27, 2025. His talk introduced advances in 3D neural rendering and physics-knowledge-based intelligence for sustainable industrial energy applications, drawing strong interest from both academia and industry.","Keynote Lecture at the KSFC Drive & Control 2025","[{""description"":"""",""fileName"":""06262025.jpg"",""slug"":""080b1e_2d56e283027d4f5d96d570c3f9a5a34c~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/080b1e_2d56e283027d4f5d96d570c3f9a5a34c~mv2.jpg/06262025.jpg#originWidth=8160&originHeight=6120"",""title"":""06262025.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":6120,""width"":8160}}]","/news-1/","254b3007-8136-4543-80a3-7a5b41d367fb",2026-03-14T09:50:06Z,2026-04-19T09:23:41Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"September 28, 2021",2021-09-28T00:00:00Z,2021-09-28T00:00:00Z,"External","Jonathan Boyack, PhD student, delivered a presentation at Asia Pacific Conference of Prognostics and Health Management Society 2021 (PHMAP2021) in Jeju, South Korea on Sep 8, 2021. His talk was entitled ""Machine Learning Approach for a Rapid Falling Hazard Assessment on High-Rise Buildings"".","2021 PHMAP","[{""description"":"""",""fileName"":""20210928_1.jpeg"",""slug"":""754fc9_44921db4fb594f1d8d2996c86e3c238e~mv2.jpeg"",""alt"":"""",""src"":""wix:image://v1/754fc9_44921db4fb594f1d8d2996c86e3c238e~mv2.jpeg/20210928_1.jpeg#originWidth=2048&originHeight=1536"",""title"":""20210928_1.jpeg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1536,""width"":2048}},{""description"":"""",""fileName"":""20210928_2.jpeg"",""slug"":""754fc9_09ce7f44a1534e1eb2320981bd1d91b7~mv2.jpeg"",""alt"":"""",""src"":""wix:image://v1/754fc9_09ce7f44a1534e1eb2320981bd1d91b7~mv2.jpeg/20210928_2.jpeg#originWidth=4032&originHeight=3024"",""title"":""20210928_2.jpeg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":3024,""width"":4032}},{""description"":"""",""fileName"":""20210928_3.jpeg"",""slug"":""754fc9_f444f77817574d89b85378bd0d238024~mv2.jpeg"",""alt"":"""",""src"":""wix:image://v1/754fc9_f444f77817574d89b85378bd0d238024~mv2.jpeg/20210928_3.jpeg#originWidth=2048&originHeight=1536"",""title"":""20210928_3.jpeg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1536,""width"":2048}},{""description"":"""",""fileName"":""20210928_4.jpeg"",""slug"":""754fc9_86f2782941074dc7ac56dad4222bbb36~mv2.jpeg"",""alt"":"""",""src"":""wix:image://v1/754fc9_86f2782941074dc7ac56dad4222bbb36~mv2.jpeg/20210928_4.jpeg#originWidth=2048&originHeight=1536"",""title"":""20210928_4.jpeg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1536,""width"":2048}},{""description"":"""",""fileName"":""20210928_5.MP4"",""slug"":""https://video.wixstatic.com/video/754fc9_32c58d31e16d44ddb89a4af27935353a/480p/mp4/file.mp4"",""alt"":"""",""src"":""wix:video://v1/754fc9_32c58d31e16d44ddb89a4af27935353a/20210928_5.MP4#posterUri=754fc9_32c58d31e16d44ddb89a4af27935353af000.jpg&posterWidth=1912&posterHeight=1072"",""title"":""20210928_5.MP4"",""type"":""video"",""settings"":{""duration"":0,""height"":1072,""focalPoint"":[0.5,0.5],""posters"":[{""url"":""754fc9_32c58d31e16d44ddb89a4af27935353af000.jpg""}],""width"":1912}}]","/news-1/","2944154e-9ef4-449a-ad95-7ce463ecf9d3",2026-03-14T09:50:06Z,2026-04-19T09:44:13Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"October 13, 2022",2022-10-13T00:00:00Z,2022-10-13T00:00:00Z,"Internal","MEICers had a welcome dinner party for our new member Alfredo Valenzuela, master’s course, from all the way from Equador. We all enjoyed Jeju sagyeosal and karaoke in Songdo. Welcome to MEIC lab, Alfredo!","Alfredo Welcome Party","[{""description"":"""",""fileName"":""20221013_1.jpg"",""slug"":""754fc9_b0801e6ce059417c94c1547b62fe9d57~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/754fc9_b0801e6ce059417c94c1547b62fe9d57~mv2.jpg/20221013_1.jpg#originWidth=711&originHeight=525"",""title"":""20221013_1.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":525,""width"":711}},{""description"":"""",""fileName"":""20221013_2.jpg"",""slug"":""754fc9_41cd779244c7441cb9a966655de7d3e5~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/754fc9_41cd779244c7441cb9a966655de7d3e5~mv2.jpg/20221013_2.jpg#originWidth=702&originHeight=528"",""title"":""20221013_2.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":528,""width"":702}}]","/news-1/","32288ac2-34ef-426e-ac9c-536f05167df9",2026-03-14T09:50:06Z,2026-04-19T09:49:21Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"April 29, 2026",2026-04-29T03:00:00Z,2026-04-29T03:00:00Z,"External","On April 29th, members of the MEIC Lab attended a special guest seminar hosted by the Department of Mechanical Engineering. We had the privilege of hearing from Doctor Eunbi Iris Cho, part leader in ADC Formulation Development Samsung Biologics, who delivered an inspiring presentation entitled, ""Merging Technology: Antibody-Drug Conjugates (ADC)"" We greatly appreciate the department for organizing this valuable event and Doctor Eunbi Iris Cho for sharing her expertise.","Special Seminar from Doctor Eunbi Iris Cho","[{""description"":"""",""fileName"":""20260429_01.jpg"",""slug"":""c34d7e_220b4c66620e47289d6b5d21a06ac4f1~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/c34d7e_220b4c66620e47289d6b5d21a06ac4f1~mv2.jpg/20260429_01.jpg#originWidth=721&originHeight=541"",""title"":""20260429_01.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":541,""width"":721}},{""description"":"""",""fileName"":""20260429_02.jpg"",""slug"":""c34d7e_9983be3933364fc0a144243a67781c8c~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/c34d7e_9983be3933364fc0a144243a67781c8c~mv2.jpg/20260429_02.jpg#originWidth=4032&originHeight=3024"",""title"":""20260429_02.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":3024,""width"":4032}},{""description"":"""",""fileName"":""20260429_03.jpg"",""slug"":""c34d7e_9da405d42a784c3b9426813018e8d308~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/c34d7e_9da405d42a784c3b9426813018e8d308~mv2.jpg/20260429_03.jpg#originWidth=4032&originHeight=3024"",""title"":""20260429_03.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":3024,""width"":4032}}]","/news-1/","3e57589f-62be-46e5-809e-664f7b5779db",2026-04-30T06:17:32Z,2026-04-30T06:17:46Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"December 8, 2022",2022-12-08T00:00:00Z,2022-12-08T00:00:00Z,"Internal","MEICers had a dinner party to celebrate semester-end and Pureun's joining MEIC Lab as a master's course. We all enjoyed Wagyu beef in Songdo. Welcome to MEIC lab, Pureun!","Semester-End & Pureun Welcome Party","[{""description"":"""",""fileName"":""20221208.jpg"",""slug"":""754fc9_5843ff7ac7894506b3441ed390b7e2bd~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/754fc9_5843ff7ac7894506b3441ed390b7e2bd~mv2.jpg/20221208.jpg#originWidth=1440&originHeight=1080"",""title"":""20221208.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1080,""width"":1440}}]","/news-1/","40f75eb8-7a03-49eb-b872-af86207b5f36",2026-03-14T09:50:06Z,2026-04-19T09:48:58Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
"January 14, 2025",2025-01-14T00:00:00Z,2025-01-14T00:00:00Z,"External","The MEIC Lab participated in the “Energy Machinery Industrial Application Technology Workshop for Carbon Neutrality,” held at SUNY Korea, Songdo Campus, from January 15 to 16, 2025. This workshop, hosted by the Korea Refrigeration and Air-Conditioning Certification Center and SUNY Korea, focused on key technologies for sustainable energy use, including AI applications, virtual testing, and new energy systems like SMRs. Industry experts from various sectors gathered to share insights and discuss future directions for industrial processes such as paper manufacturing, dyeing, low-temperature processes, and secondary batteries.","Workshop by Energy Machinery Industrial Application Technology Workshop for Carbon Neutrality,","[{""description"":"""",""fileName"":""20250114_1.png"",""slug"":""080b1e_d4260dcd99c24f88a426543e3df1ea02~mv2.png"",""alt"":"""",""src"":""wix:image://v1/080b1e_d4260dcd99c24f88a426543e3df1ea02~mv2.png/20250114_1.png#originWidth=3000&originHeight=2250"",""title"":""20250114_1.png"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":2250,""width"":3000}},{""description"":"""",""fileName"":""20250114_2.png"",""slug"":""080b1e_f635d42292ad48acaed5ddbbb0327b35~mv2.png"",""alt"":"""",""src"":""wix:image://v1/080b1e_f635d42292ad48acaed5ddbbb0327b35~mv2.png/20250114_2.png#originWidth=3000&originHeight=2250"",""title"":""20250114_2.png"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":2250,""width"":3000}},{""description"":"""",""fileName"":""20250114_3.jpg"",""slug"":""080b1e_2d3e83f4e2124e909fb81dc3f0a79539~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/080b1e_2d3e83f4e2124e909fb81dc3f0a79539~mv2.jpg/20250114_3.jpg#originWidth=4032&originHeight=3024"",""title"":""20250114_3.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":3024,""width"":4032}},{""description"":"""",""fileName"":""20250114_4.jpg"",""slug"":""080b1e_7ef047fce1734a4a88a34da376450bf8~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/080b1e_7ef047fce1734a4a88a34da376450bf8~mv2.jpg/20250114_4.jpg#originWidth=4032&originHeight=3024"",""title"":""20250114_4.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":3024,""width"":4032}},{""description"":"""",""fileName"":""20250114_5.jpg"",""slug"":""080b1e_0197b8d9703b4345a38ef1ac005ca540~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/080b1e_0197b8d9703b4345a38ef1ac005ca540~mv2.jpg/20250114_5.jpg#originWidth=4032&originHeight=3024"",""title"":""20250114_5.jpg"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":3024,""width"":4032}}]","/news-1/","4106ed7f-573e-45c7-af48-cf8b31c35b53",2026-03-14T09:50:06Z,2026-04-19T09:28:24Z,"c34d7e27-16d5-4414-aee5-9caafedd1860"
