"CV_No","Status","Date","date_start","date_end","Role","Funder_KR","Funder_EN","Program_KR","Program_EN","Title_KR","Title_EN","Title_KR_Source","Budget_KRW","Budget_USD","Budget_Display","Consortium_Total","Header_Display","Note","Projects (List)"
"35","On Progress","May 2026 - December 2030","2026-05-01T00:00:00Z","2030-12-31T00:00:00Z","Co-PI","국가과학기술연구회","NST (National Research Council of Science & Technology)","2026년도 국가전략연구사업","2026 Strategic Research Program (SRP)","데이터 기반 건설현장 특화 AX 프레임워크 및 지속가능 플랫폼(K-CAX) 개발","Development of a Data-Driven Construction-Site-Specific AX Framework and Sustainable Platform (K-CAX)","Draft","380000000","316667","380M KRW / 316.667K USD","Total consortium grant $32.6M (39.1 billion KRW)","(Co-PI) [국가과학기술연구회][NST (National Research Council of Science & Technology)] 2026년도 국가전략연구사업","","/projects/"
"34","On Progress","April 2026 - December 2026","2026-04-01T00:00:00Z","2026-12-31T00:00:00Z","Co-PI","산업통상부","MOTIE (Ministry of Trade, Industry and Energy)","미래 판기술 프로젝트 사업","2026 Future PAN Technology Program","멀티모달 3D 장면 생성 및 초지능 운영 엔진 기반 실세계 연동 공간지능 플랫폼 개발","Development of a Real-World-Integrated Spatial Intelligence Platform Based on Multimodal 3D Scene Generation and a Superintelligent Operation Engine","Draft","60000000","50000","60M KRW / 50K USD","Total consortium grant $20.6M (24.7 billion KRW)","(Co-PI) [산업통상부][MOTIE (Ministry of Trade, Industry and Energy)] 미래 판기술 프로젝트 사업","CV 원문 부처명 표기는 'MOTIR' 이나 MOTIE(산업통상부) 오기로 판단해 정정","/projects/"
"33","On Progress","April 2026 - December 2028","2026-04-01T00:00:00Z","2028-12-31T00:00:00Z","Co-PI","정보통신기획평가원","IITP (Institute of Information & Communications Technology Planning & Evaluation)","2026년도 제1차 정보통신방송 기술개발사업 및 표준개발지원사업","2026 National ICT R&D and Standardization Support Program","대규모 초실감 XR 구현을 위한 디지털 객체 간 실-가상 동기화 기술 개발","Development of Real-Virtual Synchronization Technology Between Digital Objects for Large-Scale Ultra-Realistic XR Implementation","Draft","500000000","416667","500M KRW / 416.667K USD","Total consortium grant $4.58M (5.5 billion KRW)","(Co-PI) [정보통신기획평가원][IITP (Institute of Information & Communications Technology Planning & Evaluation)] 2026년도 제1차 정보통신방송 기술개발사업 및 표준개발지원사업","","/projects/"
"32","On Progress","April 2026 - December 2028","2026-04-01T00:00:00Z","2028-12-31T00:00:00Z","Co-PI","정보통신기획평가원","IITP (Institute of Information & Communications Technology Planning & Evaluation)","2026년도 제1차 정보통신방송 기술개발사업 및 표준개발지원사업","2026 National ICT R&D and Standardization Support Program","피지컬 AI의 Sim2Real을 위한 멀티모달 AI 기반 대규모 뉴럴 렌더링 자동화","Multimodal AI-Based Automated Large-Scale Neural Rendering for Sim2Real in Physical AI","Draft","270000000","225000","270M KRW / 225K USD","Total consortium grant $1.50M (1.8 billion KRW)","(Co-PI) [정보통신기획평가원][IITP (Institute of Information & Communications Technology Planning & Evaluation)] 2026년도 제1차 정보통신방송 기술개발사업 및 표준개발지원사업","","/projects/"
"31","Finished","April 2026 - May 2026","2026-04-01T00:00:00Z","2026-05-31T00:00:00Z","PI","정보통신산업진흥원","NIPA (National IT Industry Promotion Agency)","고성능 GPU 활용 지원사업","Advanced GPU Utilization Support Program","B200 GPU 2대 지원 (현물)","Award of two B200 GPUs (in-kind)","Draft","","","","","(PI) [정보통신산업진흥원][NIPA (National IT Industry Promotion Agency)] 고성능 GPU 활용 지원사업","현금 지원이 아닌 장비(현물) 지원 — 금액 미기재","/projects/"
"30","Finished","October 2025 - January 2026","2025-10-01T00:00:00Z","2026-01-31T00:00:00Z","PI","한국전자통신연구원","ETRI (Electronics and Telecommunications Research Institute)","연구자문","Research Consultant","공분산·등방성 제어 3D 가우시안 스플래팅(Micro-Splatting)을 통한 고주파 디테일 복원 실시간 렌더링 도구 개발","Development of a Real-Time Rendering Tool for High-Frequency Detail Restoration via Covariance- and Isotropy-Controlled 3D Gaussian Splatting (Micro-Splatting)","Draft","50000000","41667","50M KRW / 41.667K USD","","(PI) [한국전자통신연구원][ETRI (Electronics and Telecommunications Research Institute)] 연구자문","","/projects/"
"29","Finished","June 2025 - September 2025","2025-06-01T00:00:00Z","2025-09-30T00:00:00Z","PI","LS머트리얼즈 / 한국전자기술연구원","LS Materials / KETI (Korea Electronics Technology Institute)","연구자문","Research Consultant","스마트 셀 밸런싱 2.0 알고리즘의 울트라커패시터 적용 개발","Development of Realistic Virtual Environment-Based UC Module Cell Balancing Optimization Technology","Website","27500000","22917","27.5M KRW / 22.917K USD","","(PI) [LS머트리얼즈 / 한국전자기술연구원][LS Materials / KETI (Korea Electronics Technology Institute)] 연구자문","CV 기준 반영 (06/2025-09/2025, 27.5M KRW, $22,917). 구 웹사이트는 'February 2025 - September 2025 / 25M KRW / 20.8K USD' 로 표기했으나 CV 값으로 확정","/projects/"
"28","Finished","May 2025 - December 2025","2025-05-01T00:00:00Z","2025-12-31T00:00:00Z","PI","인천테크노파크","ITP (Incheon Technopark)","산업 AI·머신비전 협력사업","Industrial AI and Machine Vision Partnership","산업 AI 플랫폼 고도화 및 MLOps 구현을 통한 머신비전","Machine Vision via Enhanced Industrial AI Platforms and MLOps Implementation","Draft","12000000","10000","12M KRW / 10K USD","","(PI) [인천테크노파크][ITP (Incheon Technopark)] 산업 AI·머신비전 협력사업","","/projects/"
"27","On Progress","May 2025 - December 2027","2025-05-01T00:00:00Z","2027-12-31T00:00:00Z","PI","한국전파진흥협회","RAPA (Korea Radio Promotion Association)","메타버스 랩 지원사업","2025 Metaverse Lab. Program","메타리얼: 초실감 부동산 공간정보 메타버스 기술 상용화","MetaReal: Commercialization of Neural Rendering-Based Hyper-Realistic Spatial Information Metaverse Technology","Website","682227000","568523","682.227M KRW / 568.523K USD","","(PI) [한국전파진흥협회][RAPA (Korea Radio Promotion Association)] 메타버스 랩 지원사업","2026 메타버스랩 선정; 수행 4개 대학 - 한국과학기술원, 연세대, 고려대, 한국뉴욕주립대 | 기관명은 CV 기준 '한국전파진흥협회'(RAPA). 구 웹사이트의 '한국전파통신진흥원' 은 오기","/projects/"
"26","Finished","May 2025 - December 2025","2025-05-01T00:00:00Z","2025-12-31T00:00:00Z","PI","현대자동차그룹","Hyundai Motor Group","미래기술연구과제 공모 - 미래 PoC 과제","2025 Hyundai Motor Company Future Technology Research Program","물리 기반 신경망(PINN)을 활용한 전기차 에너지 예측 PHM 모델 및 전기차 전용 내비게이션 시스템 개발","Physics-Informed Neural Network (PINN)-Based EV Energy Consumption PHM Model and EV Navigation System Development","Website","66000000","55000","66M KRW / 55K USD","","(PI) [현대자동차그룹][Hyundai Motor Group] 미래기술연구과제 공모 - 미래 PoC 과제","2025 현대자동차 미래기술공모과제 선정 | CV 기준 반영 (05/2025-12/2025, 66M KRW, $55,000). 구 웹사이트는 'April 2025 - November 2025 / 60M KRW / 50K USD' 로 표기했으나 CV 값으로 확정","/projects/"
