"No","Year","Date","Award","Venue","Recipients","Work","Featured"
"1","2025","04/2025","Promising Young Scientist Award","Korean Society of Mechanical Engineers Reliability Division 2025 (KSME Reliability 2025, Gyeongju, South Korea)","Jongseong Choi*","EV-PINN: Electric Vehicle Battery Surrogate Model using Transformer-Based Physics Informed Neural Network","Y"
"2","2025","07/2025","Outstanding Presentation Award","Intl. Conf. on Precision Engineering and Sustainable Manufacturing (PRESM 2025, Chiangmai, Thailand)","Jongseong Choi*","Physics-informed Neural Network (PINN) and Hyper-realistic Digital Twin (3DGS) for Predictive Engineering System Assessment","Y"
"3","2024","03/2024","Outstanding Thesis Award","Korean Society of Mechanical Engineers Reliability Division 2024 (KSME Reliability 2024, Yeosu, South Korea)","Ricardo Ortiz and Jongseong Choi","Autonomous Manipulation of Unmanned Ground Vehicle (UGV) with an User-Guided-Path on a Map: Quantitative Simulation and Analysis",""
"4","2024","03/2024","Best Paper Award","Korean Society of Mechanical Engineers Reliability Division 2024 (KSME Reliability 2024, Yeosu, South Korea)","Jonathan Boyack and Jongseong Choi *","Falling Haz ard Assessment Application: Automated Labelling Large Data Sets for Transfer Learning Models",""
"5","2024","10/2024","Best Poster Award","Annual Conf. of the Korean Society of PHM (PHM Korea 2024, Seoul, South Korea)","Hanbeom Chang and Jongseong Choi*","LiDAR-Camera based Real-time 3D Reconstruction with Mixed Reality Visualization System",""
"6","2024","12/2024","Vice Presidential Award for Industrial Potential","2024 SUNY Korea Research Challenge","The team of Hansol Lim, Jeewon Lee, Hanbeom Chang, and Jongseong Choi* won the competition and a monetary prize of $10,000 for conference attending","","Y"
"7","2024","12/2024","Outstanding Paper Award","7th Intl. Conf. on Materials and Reliability (ICMR 2025, Busan, South Korea)","Jeewon Lee, Hansol Lim, Jongseong Choi*, Sangho Song, Jaechul Park, and Hwasup Jang","Development of a 3D Gaussian Splatting Digital Twining Platform for Remote Ship Assessment",""
"8","2024","12/2024","Grand Prize","Idea Challenge Competition ” held by Korean Society of Mechanical Engineers Chungcheong Division and KIMM 2024 (KSME Chungcheong 2024, Daejeon, South Korea)","Hansol Lim, Jeewon Lee, Hanbeom Chang, Sooyeun Yang, and Jongseong Choi*","Physics-Informed Neural Network for EV Battery Prediction","Y"
"9","2023","07/2023","Best Paper Award","Annual Conference of the PHM Korea Society (PHM Korea 2023, Seoul, South Korea)","Hansol Lim and Jongseong Choi*","Real-Time, Non-Intrusive Inspection of Structures and Machines Using Visual Analytics and SfM-Based Digital Twin Generation",""
"10","2023","07/2023","Promising Young Scientist Award","Annual Conference of the PHM Korea Society (PHM Korea 2023, Seoul, South Korea)","Jongseong Choi*","Engineering-Soft-Power engaged visualization analytics and human - machine collaboration remote assessment for large-scale structures",""
