"ID","Type","Year","Title","Authors","Venue","Tags"
"C67","International","2026","VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization","Hansol Lim, Minhyeok Im, Jonathan Boyack, Jee Won Lee, and Jongseong Choi*","The 25th International Conference on Control, Automation, and System (ICRA 2026), Vienna, Austria, Jun 1 – 5, 2026; *Accepted",""
"C66","Korean","2026","Micro-Splatting: Manufacturing AI Neural Rendering Techniques","Jongseong Choi*","2026 Spring Conference of The Korean Society for Precision Engineering, Jeju Shinhwa World, Jeju, South Korea, May 13 – 15, 2026","Invited"
"C65","Korean","2026","Micro-Splatting: Manufacturing AI Neural Rendering Techniques for Addressing the Sim2Real Problem in Physical AI by Reflecting Material and Surface Properties","Jongseong Choi*","2026 Spring Conference of The Korean Society for Composite Materials, Jeju Shinhwa World, Jeju, South Korea, Apr 22 – 24, 2026","Invited"
"C64","Korean","2026","Neural Rendering Techniques for Manufacturing AI to Address the Sim2Real Problem in Physical AI","Jongseong Choi* and Jeewon Lee","Korean Society of Mechanical Engineers (KSME)-Reliability Division 2026, Lotte Hotel Jeju, Jeju, South Korea, Apr 8 – 10, 2026. Plus, 9 students generated papers","Invited"
"C63","International","2025","Resolving the Accuracy-Efficiency Trade-off: A Hierarchical Learning-Based Control Architecture","Sooyuen Yang, Hansol Lim, Jeewon Lee, and Jongseong Choi*","The 25th International Conference on Control, Automation, and System (ICCAS 2025), Songdo Convensia, Incheon, South Korea, IEEE Xplore, Nov 4 – 7, 2025",""
"C62","International","2025","Small Lagrangian Networks for Nonlinear Model Predictive Control","Hansol Lim, Jeewon Lee, Sooyeun Yang, and Jongseong Choi*","The 25th International Conference on Control, Automation, and System (ICCAS 2025), Songdo Convensia, Incheon, South Korea, IEEE Xplore, Nov 4 – 7, 2025",""
"C61","International","2025","Hybrid Vision Servoing with Deep Alignment and GRU-Based Occlusion Recovery","Jeewon Lee, Hansol Lim, Sooyeun Yang, and Jongseong Choi*","The 25th International Conference on Control, Automation, and System (ICCAS 2025), Songdo Convensia, Incheon, South Korea, IEEE Xplore, Nov 4 – 7, 2025",""
"C60","International","2025","Visual Intelligence for Predictive Engineering System Assessment","Jongseong Choi*","The 15th International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE 2025), Hohhot Juva Grand Hotel, Hohhot, China, Jul 23 – 26, 2025","Invited"
"C59","International","2025","Physics-Informed Neural Network (PINN) and Hyper - Realistic Digital Twin (3DGS) for Predictive Engineering System Assessment","Jongseong Choi*","International Conference on Precision Engineering and Sustainable Manufacturing (PRESM 2025), Chiang Mai Marriott Hotel, Chiang Mai, Thailand, Jul 6 – 11, 2025","Invited"
"C58","International","2025","Physics-Informed Neural Network (PINN) and Hyper-Realistic Digital Twin (3DGS) for Predictive Engineering System Assessment","Jongseong Choi*","Annual Conference of Drive & Control, KIST Gangneung, Gangneung, South Korea, Jun 26 – 27, 2025","Keynote"
"C57","Korean","2025","PHM-Driven XR-Enabled Sensor Fusion Platform for Remote Structural Health Management and Collaborative Inspection","Hanbeom Chang, Hyeji Chang, Sungwook Choi, and Jongseong Choi*","Annual Conference of the PHM Korea (PHM Korea 2025), Jeju Booyoung Hotel, Seoguipo, South Korea, Jun 23 – 25, 2025",""
