"Date","DateStart","DateEnd","Type","Summary","Content","Images","Cover"
"August 3 - 6, 2026","2026-08-03T03:00:00Z","2026-08-06T03:00:00Z","External","KCCV 2026","The MEIC Lab attended the 13th Korean Conference on Computer Vision (KCCV 2026), held at BEXCO in Busan from August 3 to 5. The conference gathered the domestic computer vision community around work recently presented at CVPR, ICCV, NeurIPS, and ICLR. Our group followed sessions on neural rendering and 3D scene representation, multimodal learning, and vision for robotics — topics closely tied to our ongoing work in Micro-Splatting, LiDAR-3DGS, and embodied AI. The keynote lectures and poster sessions were a useful opportunity to see how the field is moving and to exchange ideas with researchers from other labs.
We look forward to sharing our own results at KCCV in the coming years.","/assets/news/20260803_1.webp|/assets/news/20260803_2.webp|/assets/news/20260803_3.webp|/assets/news/20260803_4.webp|/assets/news/20260803_5.webp","/assets/news/20260803_1.webp"
"June 25 - 26, 2026","2026-06-25T03:00:00Z","2026-06-26T03:00:00Z","External","PHM 2026 Korea","MEIC researchers recently attended the PHM Korea 2026 conference held in Busan. Notably, Ph.D. candidate, Hansol Lim, delivered an insightful oral presentation, while other members successfully shared their latest findings through poster presentations. During the event, our team engaged in valuable discussions with experts in the field of system reliability and health management. Great job to everyone for their hard work and successful presentations!","/assets/news/20260625_1.webp|/assets/news/20260625_2.webp","/assets/news/20260625_1.webp"
"June 22, 2026","2026-06-22T00:00:00Z","2026-06-22T00:00:00Z","Internal","MEIC Olympic and Semester End Party","","/assets/news/20260622_1.webp|/assets/news/20260622_2.webp|/assets/news/20260622_3.webp|/assets/news/20260622_4.webp|/assets/news/20260622_5.webp","/assets/news/20260622_1.webp"
"May 20, 2026","2026-05-20T03:00:00Z","2026-05-20T03:00:00Z","External","MEIC Invited Seminar","On May 20th, members of the MEIC Lab attended a special guest seminar hosted by the Department of Mechanical Engineering. We had the privilege of hearing from Yejin Kong, Strategic Growth Leader from TOFF Mobility Co., Ltd., who delivered an inspiring presentation entitled, ""Trends and Key Challenges in the Electric Aircraft Industry"" We greatly appreciate the department for organizing this valuable event and Yejin Kong for sharing her expertise.","/assets/news/20260520_5.webp|/assets/news/20260520_6.webp|/assets/news/20260520_7.webp","/assets/news/20260520_5.webp"
"May 20, 2026","2026-05-20T02:45:00Z","2026-05-20T02:45:00Z","External","MEC Dept. Open Lab","The Department of Mechanical Engineering held an Open Lab Day to introduce various research laboratories to undergraduate students. During the event, professors and graduate students presented their ongoing research topics, laboratory environments, and current projects to students interested in exploring research opportunities and future academic paths.","/assets/news/20260520_1.webp|/assets/news/20260520_2.webp|/assets/news/20260520_3.webp|/assets/news/20260520_4.webp","/assets/news/20260520_1.webp"
"April 29, 2026","2026-04-29T03:00:00Z","2026-04-29T03:00:00Z","External","Special Seminar from Doctor Eunbi Iris Cho","On April 29th, members of the MEIC Lab attended a special guest seminar hosted by the Department of Mechanical Engineering. We had the privilege of hearing from Doctor Eunbi Iris Cho, part leader in ADC Formulation Development Samsung Biologics, who delivered an inspiring presentation entitled, ""Merging Technology: Antibody-Drug Conjugates (ADC)"" We greatly appreciate the department for organizing this valuable event and Doctor Eunbi Iris Cho for sharing her expertise.","/assets/news/20260429_1.webp|/assets/news/20260429_2.webp|/assets/news/20260429_3.webp","/assets/news/20260429_1.webp"
"April 27, 2026","2026-04-27T03:00:00Z","2026-04-27T03:00:00Z","Internal","Mario Hernan Viteri Villarreal Farewell party","..","/assets/news/20260427_1.webp|/assets/news/20260427_2.webp","/assets/news/20260427_1.webp"
"April 20, 2026","2026-04-20T03:00:00Z","2026-04-20T03:00:00Z","External","Departmental Seminar by Professor Taek Soo Kim at KAIST","On April 20th, members of the MEIC Lab attended a special guest seminar hosted by the Department of Mechanical Engineering. We had the privilege of hearing from Professor Taek Soo Kim from the Department of Engineering at KAIST, who delivered an inspiring presentation entitled, ""Mechanical Reliability of Thin Film Materials for Semiconductors, Displays, and More."" We greatly appreciate the department for organizing this valuable event and Professor Taek Soo Kim for sharing their expertise.","/assets/news/20260420_1.webp|/assets/news/20260420_2.webp","/assets/news/20260420_1.webp"
"April 8-10, 2026","2026-04-08T03:00:00Z","2026-04-10T03:00:00Z","External","2026 KSME","Members of the MEIC Lab actively participated in the 2026 Korean Society of Mechanical Engineers (KSME) Conference, sharing our latest advancements in visual intelligence and digital twin technologies. During the event, Jeewon Lee, Christopher Song, Dohyeon Lee, Jaesuk Song, Jeonghwan Jeikal, Minhyuk Im, Nahyun Kim, and Hajun Jang delivered an insightful poster presentation. And Sooyeun Yang delivered an insightful oral presentation. It was a great opportunity to engage with leading experts and showcase our ongoing efforts to integrate physics-aware AI into mechanical systems for real-world industrial applications.","/assets/news/20260408_1.webp|/assets/news/20260408_2.webp","/assets/news/20260408_1.webp"
"April 1, 2026","2026-04-01T03:00:00Z","2026-04-01T03:00:00Z","Internal","Ph.D. Boyack Farewell Party","On April 1st, MEIC Lab held a warm farewell party to celebrate the graduation of Jonathan Boyack, who has successfully completed both their Master's and Ph.D. programs with us.
From March 2021 to March 2026, Jonathan Boyack has shown exceptional dedication and made significant contributions to our research in Structural Health Monitoring, Computer Vision, Visual Analysis, Electric Vehicle System Optimization, and Deep Learning. Spending five years growing together—from a Master's student to an independent Ph.D. researcher—has been a remarkable journey.
We deeply appreciate all the hard work, passion, and leadership you have poured into the lab over the years. Congratulations, Dr. Jonathan Boyack! We wish you the absolute best in your future endeavors and look forward to your continued success.","/assets/news/20260401_1.webp|/assets/news/20260401_2.webp|/assets/news/20260401_3.webp","/assets/news/20260401_1.webp"
